1/1 feasible solution given by solution candidate storage, new primal bound 2.018452e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 3 generators found (max: 1500, log10 of symmetry group size: 1.08) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 3
   lexicographic reduction:    3 permutations with support sizes 120, 8040, 8040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 12060 variables (12060 bin, 0 int, 0 impl, 0 cont) and 510 constraints
    510 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  114s|  3300 |  3265 | 77507 |  23.1 |   336M |  75 |  12k| 608 | 367 |1065 |  1 | 322 |2951 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  116s|  3400 |  3365 | 79435 |  23.0 |   337M |  75 |  12k| 614 | 369 |1093 |  1 | 328 |2963 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  118s|  3500 |  3465 | 81438 |  22.9 |   339M |  75 |  12k| 614 | 380 |1123 |  1 | 329 |2964 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  120s|  3600 |  3565 | 82804 |  22.6 |   339M |  79 |  12k| 616 | 372 |1143 |  1 | 331 |2976 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  126s|  3700 |  3663 | 93574 |  24.9 |   340M |  79 |  12k| 616 |   0 |1196 |  0 | 331 |2984 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  128s|  3800 |  3763 | 95727 |  24.9 |   340M |  79 |  12k| 616 | 372 |1217 |  1 | 331 |2986 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  130s|  3900 |  3863 | 97045 |  24.6 |   342M |  79 |  12k| 617 | 369 |1233 |  1 | 332 |3003 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  131s|  4000 |  3963 | 98466 |  24.3 |   342M |  79 |  12k| 615 | 368 |1254 |  1 | 332 |3011 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  133s|  4100 |  4063 |100063 |  24.1 |   342M |  79 |  12k| 618 | 372 |1277 |  1 | 335 |3018 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  135s|  4200 |  4161 |101680 |  23.9 |   343M |  79 |  12k| 626 | 374 |1304 |  1 | 346 |3067 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
